"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"LOST TECHNOLOGIE[A]","0.888678124638947","0.0298179084249598","29.8035030483579","4.22806566051728e-11"
"LOUDER ROLLING THUNDER[A]","0.848955200153001","0.0590683683524701","14.372416639091","5.26833878084391e-08"
"M4K3 1T B0UNC3[A]","0.948261540423368","0.0321309998513184","29.5123570636243","4.65946973560582e-11"
"Macho Monky[A]","0.853187959136701","0.0374516823339447","22.7810316110528","5.98925080479977e-10"
"Mare Nectaris[A]","1.00048955533471","0.0336059729011154","29.771182589435","4.27371783821423e-11"
"Marie Antoinette[L]","0.629769261705172","0.0556996124318606","11.3065286132034","5.10297123794893e-07"
"Matt Silver[A]","0.88119440598885","0.0387819162124306","22.7217861325379","6.14448042048586e-10"
"MAX 300[A]","0.535240183065447","0.0485634300209409","11.0214657991548","6.47385467812429e-07"
"MAX 360[A]","0.698814195095273","0.143913648742165","4.85578818411635","0.0006655900667047"
"MEGAERA[A]","0.787316045633165","0.0487253216720076","16.1582523956014","1.70735840424253e-08"
"Megalara Garuda[A]","0.802496755991637","0.0648001264372519","12.3841850334771","2.17093847212454e-07"
"Meissa[A]","0.556177441011724","0.0654812571459519","8.49368911430724","6.94290553022605e-06"
"MENDES[A]","0.963505803935084","0.0448575489344603","21.4792343055307","1.06714474555457e-09"
"Monopole.[A]","0.662916728526117","0.0658530647494637","10.0666040532535","1.49567067799362e-06"
"moon_child[A]","0.738024957629181","0.0450945572053473","16.3661648626115","1.50888030653006e-08"
"mosaic[A]","0.884889864531834","0.0627594252278159","14.0997126936663","6.32820355012053e-08"
"NEO GENERATOR SEVEN[A]","0.949220980048571","0.0452746848347746","20.9658219270362","1.35269333437122e-09"
"neu[A]","0.830601261451598","0.0450776460409522","18.4260123232036","4.77524954347687e-09"
"New Castle Legions[A]","0.731720288446396","0.047519602423327","15.3982830480753","2.71724765640897e-08"
"NEW GENERATION -もう、お前しか見えない-[L]","0.799349736554676","0.049846885285776","16.0361019945769","1.83720410900505e-08"
"Nightmare before oversleep[A]","0.720378045979565","0.0618981822944267","11.6381130960033","3.8942663864913e-07"
"NINJA IS DEAD IIDX ver.[A]","0.831091265884516","0.0336244596266429","24.7168660883397","2.68438686239805e-10"
"NITROUS CANNON[A]","0.803562085908756","0.0469660251835784","17.109433527062","9.81451273360284e-09"
"NNRT[A]","0.802335468329047","0.0461821284431096","17.3732890920656","8.4603511809144e-09"
"No Border[A]","1.07199336213086","0.0450964305756933","23.7711355077547","3.94166320681968e-10"
"NZM[A]","0.916875099683816","0.0342662225230325","26.7574022513723","1.22757794995308e-10"
"n/a[A]","0.819410258343512","0.0499778867512862","16.3954563029303","1.48301247156524e-08"
"ONE AND ONLY[A]","0.929709816042009","0.0376730989828933","24.6783471798849","2.72595251738547e-10"
"One for All[A]","0.568997837489945","0.0597048493752694","9.53017792430161","2.46629416521498e-06"
"One More Lovely[A]","0.707013844759697","0.0560622625443951","12.6112256743085","1.82853997844441e-07"
"one or eight[A]","0.680918371139946","0.0624597615274835","10.9017126304642","7.16579359554508e-07"
"ONIGOROSHI[A]","0.750006655772963","0.0365820054209541","20.5020650766007","1.68390254363101e-09"
"oratio[A]","0.83017144778861","0.0430208498579633","19.2969560231722","3.04406800656029e-09"
"ORCA[A]","0.922407925791155","0.0278613188760988","33.1071163534349","1.49213492200637e-11"
"OTENAMI Hurricane[A]","0.808842039737108","0.0378892263099859","21.3475470076815","1.13346684881887e-09"
"Ou Legends[A]","0.823185990295595","0.0421683791151748","19.521404606215","2.7190844614803e-09"
"Override[L]","1.01559328013499","0.024334154804756","41.7353011963455","1.4950979916983e-12"
"Painful Fate[A]","0.674610482766476","0.0666413057810409","10.1230081682823","1.42088849371852e-06"
"Papilio ulysses[A]","0.818196865378576","0.0339714807087637","24.0848160959762","3.46450807216765e-10"
"PARADISE LOST[A]","0.77106478540512","0.0487663024769799","15.811426051198","2.10524546661176e-08"
"PARANOiA ～HADES～[A]","0.749957326827307","0.0733224556025244","10.2282079980077","1.29208008602217e-06"
"Parvati[A]","0.711890130198498","0.0430274397507754","16.5450264836097","1.35828582621126e-08"
"Peaktime Booster[A]","0.725722329239438","0.0488452643924567","14.8575780736589","3.83184683308552e-08"
